Title,Start_Page,Content
9.5 Initializing Pointers,541,"Initializing Pointers CONCEPT: Pointers may be initialized with the address of an existing object. Remember that a pointer is designed to point to an object of a specific data type. When a pointer is initialized with an address, it must be the address of an object the pointer can point to. For instance, the following definition of pint is legal because myValue is an integer: int myValue; int *pint = &myValue; The following is also legal because ages is an array of integers: int ages[20]; int *pint = ages; But the following definition of pint is illegal because myFloat is not an int : float myFloat; int *pint = &myFloat; // Illegal! Pointers may be defined in the same statement as other variables of the same type. The following statement defines an integer variable, myValue , and then defines a pointer, pint , which is initialized with the address of myValue : int myValue, *pint = &myValue; And the following statement defines an array, readings , and a pointer, marker , which is init..."
9.6 Comparing Pointers,542,"9.6 Comparing Pointers 511 *ptr *= 10; ptr = &y; *ptr *= 5; ptr = &z; *ptr *= 2; cout << x << "" "" << y << "" "" << z << endl; 9.5 Rewrite the following loop so it uses pointer notation (with the indirection opera- tor) instead of subscript notation. for (int x = 0; x < 100; x++) cout << arr[x] << endl; 9.6 Assume ptr is a pointer to an int and holds the address 12000. On a system with 4-byte integers, what address will be in ptr after the following statement? ptr += 10; 9.7 Assume pint is a pointer variable. Is each of the following statements valid or invalid? If any is invalid, why? A) pint++; B) −−pint; C) pint /= 2; D) pint *= 4; E) pint += x; // Assume x is an int. 9.8 Is each of the following definitions valid or invalid? If any is invalid, why? A) int ivar; int *iptr = &ivar; B) int ivar, *iptr = &ivar; C) float fvar; int *iptr = &fvar; D) int nums[50], *iptr = nums; E) int *iptr = &ivar; int ivar; 9.6 Comparing Pointers CONCEPT: If one address comes before another address in m..."
9.7 Pointers as Function Parameters,544,"9.7 Pointers as Function Parameters 513 14 while (nums < &set[7]) 15 { 16 // Advance nums to point to the next element. 17 nums++; 18 // Display the value pointed to by nums. 19 cout << *nums << "" ""; 20 } 21 22 // Display the numbers in reverse order. 23 cout << ""\nThe numbers in set backward are:\n""; 24 cout << *nums << "" ""; // Display first element 25 while (nums > set) 26 { 27 // Move backward to the previous element. 28 nums−−; 29 // Display the value pointed to by nums. 30 cout << *nums << "" ""; 31 } 32 return 0; 33 } Program Output The numbers in set are: 5 10 15 20 25 30 35 40 The numbers in set backward are: 40 35 30 25 20 15 10 5 9.7 Pointers as Function Parameters CONCEPT: A pointer can be used as a function parameter. It gives the function access to the original argument, much like a reference parameter does. In Chapter 6 you were introduced to the concept of reference variables being used as func- tion parameters. A reference variable acts as an alias to the original vari..."
9.8 Focus on Software Engineering: Dynamic Memory Allocation,553,"Focus on Software Engineering: Dynamic Memory Allocation CONCEPT: Variables may be created and destroyed while a program is running. As long as you know how many variables you will need during the execution of a program, you can define those variables up front. For example, a program to calculate the area of a rectangle will need three variables: one for the rectangle’s length, one for the rectangle’s width, and one to hold the area. If you are writing a program to compute the payroll for 30 employees, you’ll probably create an array of 30 elements to hold the amount of pay for each person. But what about those times when you don’t know how many variables you need? For instance, suppose you want to write a test-averaging program that will average any number of tests. Obviously the program would be very versatile, but how do you store the indi- vidual test scores in memory if you don’t know how many variables to define? Quite sim- ply, you allow the program to create its own variable..."
9.9 Focus on Software Engineering: Returning Pointers from Functions,557,"Focus on Software Engineering: Returning Pointers from Functions CONCEPT: Functions can return pointers, but you must be sure the item the pointer references still exists. Like any other data type, functions may return pointers. For example, the following func- tion locates the null terminator that appears at the end of a string (such as a string literal) and returns a pointer to it. char *findNull(char *str) { char *ptr = str; while (*ptr != '\0') ptr++; return ptr; } The char * return type in the function header indicates the function returns a pointer to a char : char *findNull(char *str) When writing functions that return pointers, you should take care not to create elusive bugs. For instance, see if you can determine what’s wrong with the following function. string *getFullName() { string fullName[3]; cout << ""Enter your first name: ""; getline(cin, fullName[0]); cout << ""Enter your middle name: ""; getline(cin, fullName[1]); cout << ""Enter your last name: ""; getline(cin, fullNam..."
9.10 Using Smart Pointers to Avoid Memory Leaks,564,"9.10 Using Smart Pointers to Avoid Memory Leaks 533 9.10 Using Smart Pointers to Avoid Memory Leaks CONCEPT: C++ 11 introduces smart pointers, objects that work like pointers, but have the ability to automatically delete dynamically allocated memory that is no longer being used. In C++ 11, you can use smart pointers to dynamically allocate memory and not worry about deleting the memory when you are finished using it. A smart pointer automatically deletes a chunk of dynamically allocated memory when the memory is no longer being used. This helps to prevent memory leaks from occurring. C++ 11 provides three types of smart pointer: unique_ptr , shared_ptr , and weak_ptr . To use any of the smart pointers, you must #include the memory header file with the fol- lowing directive: #include <memory> In this book, we introduce unique_ptr . The syntax for defining a unique_ptr is some- what different from the syntax used in defining a regular pointer. Here is an example: unique_ptr<int> ptr( ..."
9.11 Focus on Problem Solving and Program Design: A Case Study,567,"9.11 Focus on Problem Solving and Program Design: A Case Study CONCEPT: This case study demonstrates how an array of pointers can be used to display the contents of a second array in sorted order, without sorting the second array. The United Cause, a charitable relief agency, solicits donations from businesses. The local United Cause office received the following donations from the employees of CK Graphics, Inc.: $5, $100, $5, $25, $10, $5, $25, $5, $5, $100, $10, $15, $10, $5, $10 The donations were received in the order they appear. The United Cause manager has asked you to write a program that displays the donations in ascending order, as well as in their original order. Variables Table 9-1 shows the major variables needed. Programming Strategy In this program the donations array will contain the donations in the order they were received. The elements of the arrPtr array are pointers to integers. They will point to the elements of the donations array, as illustrated in Figure 9-1..."
Review Questions and Exercises,572,"Review Questions and Exercises 541 96 void showArrPtr(int *arr[], int size) 97 { 98 for (int count = 0; count < size; count++) 99 cout << *(arr[count]) << "" ""; 100 cout << endl; 101 } Program Output The donations, sorted in ascending order, are: 5 5 5 5 5 5 10 10 10 10 15 25 25 100 100 The donations, in their original order, are: 5 100 5 25 10 5 25 5 5 100 10 15 10 5 10 Review Questions and Exercises Short Answer 1. What does the indirection operator do? 2. Look at the following code. int x = 7; int *iptr = &x; What will be displayed if you send the expression *iptr to cout ? What happens if you send the expression ptr to cout ? 3. So far you have learned three different uses for the * operator. What are they? 4. What math operations are allowed on pointers? 5. Assuming that ptr is a pointer to an int , what happens when you add 4 to ptr ? 6. Look at the following array definition. int numbers[] = { 2, 4, 6, 8, 10 }; What will the following statement display? cout << *(numbers + 3) ..."
10.1 Character Testing,578,"10.1 Character Testing CONCEPT: The C++ library provides several functions for testing characters. To use these functions you must include the cctype header file. The C++ library provides several functions that allow you to test the value of a character. These functions test a single char argument and return either true or false . * For exam- ple, the following program segment uses the isupper function to determine whether the character passed as an argument is an uppercase letter. If it is, the function returns true . Otherwise, it returns false . char letter = 'a'; if (isupper(letter)) cout << ""Letter is uppercase.\n""; else cout << ""Letter is lowercase.\n""; Because the variable letter , in this example, contains a lowercase character, isupper returns false . The if statement will cause the message “ Letter is lowercase ” to be displayed. Characters, C-Strings, and More About the string Class 10 TOPICS 10.1 Character Testing 10.2 Character Case Conversion 10.3 C-Strings 10.4 Librar..."
10.2 Character Case Conversion,582,"10.2 Character Case Conversion 551 In this program, the customer number is expected to consist of three alphabetic letters fol- lowed by four numeric digits. The testNum function accepts an array argument and tests the first three characters with the following loop in lines 45 through 49: for (count = 0; count < 3; count++) { if (!isalpha(custNum[count])) return false; } The isalpha function returns true if its argument is an alphabetic character. The ! opera- tor is used in the if statement to determine whether the tested character is NOT alpha- betic. If this is so for any of the first three characters, the function testNum returns false . Likewise, the next four characters are tested to determine whether they are numeric digits with the following loop in lines 52 through 56: for (count = 3; count < size - 1; count++) { if (!isdigit(custNum[count])) return false; } The isdigit function returns true if its argument is the character representation of any of the digits 0 through 9. O..."
10.3 C-Strings,585,"10.3 C-Strings CONCEPT: In C++, a C-string is a sequence of characters stored in consecutive mem- ory locations, terminated by a null character. String is a generic term that describes any consecutive sequence of characters. A word, a sentence, a person’s name, and the title of a song are all strings. In the C++ language, there are two primary ways that strings are stored in memory: as string objects, or as C-strings. You have already been introduced to the string class, and by now, you have written sev- eral programs that use string objects. In this section, we will use C-strings, which are an alternative method for storing and working with strings. A C-string is a string whose characters are stored in consecutive memory locations and are followed by a null character, or null terminator. Recall from Chapter 2 that a null character or null terminator is a byte holding the ASCII code 0. Strings that are stored this way are called C-strings because this is the way strings are handled ..."
10.4 Library Functions for Working with C-Strings,589,"10.4 Library Functions for Working with C-Strings CONCEPT: The C++ library has numerous functions for handling C-strings. These functions perform various tests and manipulations and require that the cstring header file be included. The strlen Function Because C-strings are stored in arrays, working with them is quite different than working with string objects. Fortunately, the C++ library provides many functions for manipulat- ing and testing C-strings. These functions all require the cstring header file to be included, as shown here: #include <cstring> For instance, the following code segment uses the strlen function to determine the length of the string stored in the name array: char name[] = ""Thomas Edison""; int length; length = strlen(name); The strlen function accepts a pointer to a C-string as its argument. It returns the length of the string, which is the number of characters up to, but not including, the null terminator. As a result, the variable length will have the number ..."
10.5 C-String/Numeric Conversion Functions,600,"10.5 C-String/Numeric Conversion Functions 569 10.9 Write a statement that will copy the string “Beethoven” to the array composer . 10.10 When complete, the following program skeleton will search for the string “ Windy ” in the array place . If place contains “ Windy ” the program will display the message “ Windy found .” Otherwise it will display “ Windy not found. ” #include <iostream> // include any other necessary header files using namespace std; int main() { char place[] = ""The Windy City""; // Complete the program. It should search the array place // for the string ""Windy"" and display the message ""Windy // found"" if it finds the string. Otherwise, it should // display the message ""Windy not found."" return 0; } 10.5 C-String/Numeric Conversion Functions CONCEPT: The C++ library provides functions for converting a C-string representation of a number to a numeric data type and vice versa. There is a great difference between a number that is stored as a string and one stored as a ..."
10.6 Focus on Software Engineering: Writing Your Own C-String-Handling Functions,606,"10.6 Focus on Software Engineering: Writing Your Own C-String-Handling Functions 575 10.13 Write a statement that will convert the string “ 100000 ” to a long and store the result in the variable num . 10.14 Write a statement that will convert the string “ 7.2389 ” to a double and store the result in the variable num . 10.15 Write a statement that will convert the integer 127 to a string, stored in base-10 notation in the array value . 10.6 Focus on Software Engineering: Writing Your Own C-String-Handling Functions CONCEPT: You can design your own specialized functions for manipulating strings. By being able to pass arrays as arguments, you can write your own functions for processing C-strings. For example, Program 10-12 uses a function to copy a C-string from one array to another. Program 10-12 1 // This program uses a function to copy a C-string into an array. 2 #include <iostream> 3 using namespace std; 4 5 void stringCopy(char [], char []); // Function prototype 6 7 int main() 8..."
10.8 Focus on Problem Solving and Program Design: A Case Study,621,"10.8 Focus on Problem Solving and Program Design: A Case Study As a programmer for the Home Software Company, you are asked to develop a function named dollarFormat that inserts commas and a $ sign at the appropriate locations in a string object containing an unformatted dollar amount. As an argument, the function should accept a reference to a string object. You may assume the string object contains a value such as 1084567.89. The function should modify the string object so it contains a formatted dollar amount, such as $1,084,567.89. The code for the dollarFormat function follows. void dollarFormat(string &currency) { int dp; dp = currency.find('.'); // Find decimal point if (dp > 3) // Insert commas { for (int x = dp - 3; x > 0; x -= 3) currency.insert(x, "",""); } currency.insert(0, ""$""); // Insert dollar sign } The function defines an int variable named dp . This variable is used to hold the position of the unformatted number’s decimal point. This is accomplished with the stateme..."
Review Questions and Exercises,622,"Review Questions and Exercises 591 8 // Function prototype 9 void dollarFormat(string &); 10 11 int main () 12 { 13 string input; 14 15 // Get the dollar amount from the user. 16 cout << ""Enter a dollar amount in the form nnnnn.nn : ""; 17 cin >> input; 18 dollarFormat(input); 19 cout << ""Here is the amount formatted:\n""; 20 cout << input << endl; 21 return 0; 22 } 23 24 //************************************************************ 25 // Definition of the dollarFormat function. This function * 26 // accepts a string reference object, which is assumed * 27 // to hold a number with a decimal point. The function * 28 // formats the number as a dollar amount with commas and * 29 // a $ symbol. * 30 //************************************************************ 31 32 void dollarFormat(string &currency) 33 { 34 int dp; 35 36 dp = currency.find('.'); // Find decimal point 37 if (dp > 3) // Insert commas 38 { 39 for (int x = dp - 3; x > 0; x -= 3) 40 currency.insert(x, "",""); 41 } 42 currenc..."
11.1 Abstract Data Types,630,"11.1 Abstract Data Types CONCEPT: Abstract data types (ADTs) are data types created by the programmer. ADTs have their own range (or domain) of data and their own sets of operations that may be performed on them. The term abstract data type, or ADT, is very important in computer science and is especially significant in object-oriented programming. This chapter introduces you to the structure, which is one of C++’s mechanisms for creating abstract data types. Abstraction An abstraction is a general model of something. It is a definition that includes only the gen- eral characteristics of an object. For example, the term “dog” is an abstraction. It defines a general type of animal. The term captures the essence of what all dogs are without specify- ing the detailed characteristics of any particular type of dog. According to Webster’s New Collegiate Dictionary , a dog is a highly variable carnivorous domesticated mammal ( Canis familiaris ) probably descended from the common wolf. In r..."
11.2 Focus on Software Engineering: Combining Data into Structures,632,"11.2 Focus on Software Engineering: Combining Data into Structures 601 For example, suppose a program is created to simulate a 12-hour clock. The program could contain three ADTs: Hours , Minutes , and Seconds . The range of values for the Hours data type would be the integers 1 through 12. The range of values for the Minutes and Seconds data types would be 0 through 59. If an Hours object is set to 12 and then incremented, it will then take on the value 1. Likewise if a Minutes object or a Seconds object is set to 59 and then incremented, it will take on the value 0. Abstract data types often combine several values. In the clock program, the Hours , Minutes , and Seconds objects could be combined to form a single Clock object. In this chapter you will learn how to combine variables of primitive data types to form your own data struc- tures, or ADTs. 11.2 Focus on Software Engineering: Combining Data into Structures CONCEPT: C++ allows you to group several variables together into a ..."
11.3 Accessing Structure Members,635,"11.3 Accessing Structure Members CONCEPT: The dot operator (.) allows you to access structure members in a program. C++ provides the dot operator (a period) to access the individual members of a structure. Using our example of deptHead as a PayRoll structure variable, the following statement demonstrates how to access the empNumber member: deptHead.empNumber = 475; In this statement, the number 475 is assigned to the empNumber member of deptHead . The dot operator connects the name of the member variable with the name of the structure variable it belongs to. The following statements assign values to the empNumber members of the deptHead , foreman , and associate structure variables: deptHead.empNumber = 475; foreman.empNumber = 897; associate.empNumber = 729; With the dot operator you can use member variables just like regular variables. For example these statements display the contents of deptHead ’s members: cout << deptHead.empNumber << endl; cout << deptHead.name << endl; cout <..."
11.4 Initializing a Structure,639,"11.4 Initializing a Structure CONCEPT: The members of a structure variable may be initialized with starting values when the structure variable is defined. A structure variable may be initialized when it is defined, in a fashion similar to the initializa- tion of an array. Assume the following structure declaration exists in a program: struct CityInfo { string cityName; string state; long population; int distance; }; A variable may then be defined with an initialization list, as shown in the following: CityInfo location = {""Asheville"", ""NC"", 50000, 28}; This statement defines the variable location . The first value in the initialization list is assigned to the first declared member, the second value in the initialization list is assigned to the second member, and so on. The location variable is initialized in the following manner: The string “Asheville” is assigned to location.cityName The string “NC” is assigned to location.state 50000 is assigned to location.population 28 is assign..."
11.5 Arrays of Structures,642,"11.5 Arrays of Structures 611 cout << ""Producer: ""; // Write a statement here that lets the user enter the // name of the movie's producer. Store the name in the // structure variable. cout << ""Year of release: ""; // Write a statement here that lets the user enter the // year the movie was released. Store the year in the // structure variable. cout << ""Here is data on your favorite movie:\n""; // Write statements here that display the data. // just entered into the structure variable. return 0; } 11.5 Arrays of Structures CONCEPT: Arrays of structures can simplify some programming tasks. In Chapter 7 you saw that data can be stored in two or more arrays, with a relationship established between the arrays through their subscripts. Because structures can hold several items of varying data types, a single array of structures can be used in place of several arrays of regular variables. An array of structures is defined like any other array. Assume the following structure dec- laration ex..."
11.6 Focus on Software Engineering: Nested Structures,644,"11.6 Focus on Software Engineering: Nested Structures 613 Program Output with Example Input Shown in Bold Enter the hours worked by 3 employees and their hourly rates. Hours worked by employee #1: 10 [Enter] Hourly pay rate for employee #1: 9.75 [Enter] Hours worked by employee #2: 20 [Enter] Hourly pay rate for employee #2: 10.00 [Enter] Hours worked by employee #3: 40 [Enter] Hourly pay rate for employee #3: 20.00 [Enter] Here is the gross pay for each employee: Employee #1: $97.50 Employee #2: $200.00 Employee #3: $800.00 Initializing a Structure Array To initialize a structure array, simply provide an initialization list for one or more of the elements. For example, the array in Program 11-4 could have been initialized as follows: PayInfo workers[NUM_WORKERS] = { {10, 9.75 }, {15, 8.62 }, {20, 10.50}, {40, 18.75}, {40, 15.65} }; As in all single-dimensional arrays, you can initialize all or part of the elements in an array of structures, as long as you do not skip elements. 11.6..."
11.7 Structures as Function Arguments,648,"11.7 Structures as Function Arguments 617 11.7 Structures as Function Arguments CONCEPT: Structure variables may be passed as arguments to functions. Like other variables, the individual members of a structure variable may be used as function arguments. For example, assume the following structure declaration exists in a program: struct Rectangle { double length; double width; double area; }; Let’s say the following function definition exists in the same program: double multiply(double x, double y) { return x * y; } Assuming that box is a variable of the Rectangle structure type, the following function call will pass box.length into x and box.width into y . The return value will be stored in box.area . box.area = multiply(box.length, box.width); Sometimes it’s more convenient to pass an entire structure variable into a function instead of individual members. For example, the following function definition uses a Rectangle structure variable as its parameter: void showRect(Rectangle r)..."
11.8 Returning a Structure from a Function,651,"11.8 Returning a Structure from a Function CONCEPT: A function may return a structure. Just as functions can be written to return an int , long , double , or other data type, they can also be designed to return a structure. Recall the following structure declaration from Program 11-2 : struct Circle { double radius; double diameter; double area; }; A function, such as the following, could be written to return a variable of the Circle data type: Circle getCircleData() { Circle temp; // Temporary Circle structure temp.radius = 10.0; // Store the radius temp.diameter = 20.0; // Store the diameter 11.8 Returning a Structure from a Function 621 temp.area = 314.159; // Store the area return temp; // Return the temporary structure } Notice that the getCircleData function has a return data type of Circle . That means the function returns an entire Circle structure when it terminates. The return value can be assigned to any variable that is a Circle structure. The following statement, for ex..."
11.9 Pointers to Structures,654,"11.9 Pointers to Structures 623 11.9 Pointers to Structures CONCEPT: You may take the address of a structure variable and create variables that are pointers to structures. Defining a variable that is a pointer to a structure is as simple as defining any other pointer variable: The data type is followed by an asterisk and the name of the pointer variable. Here is an example: Circle *cirPtr = nullptr; This statement defines cirPtr as a pointer to a Circle structure. Look at the following code: Circle myCircle = { 10.0, 20.0, 314.159 }; Circle *cirPtr = nullptr; cirPtr = &myCircle; The first two lines define myCircle , a structure variable, and cirPtr , a pointer. The third line assigns the address of myCircle to cirPtr . After this line executes, cirPtr will point to the myCircle structure. This is illustrated in Figure 11-4 . cirPtr 0xA604 myCircle Structure At Address 0xA604 Figure 11-4 Indirectly accessing the members of a structure through a pointer can be clumsy, however, if the ..."
"11.10 Focus on Software Engineering: When to Use . , When to Use -> , and When to Use *",657,"11.10 Focus on Software Engineering: When to Use . , When to Use -> , and When to Use * Sometimes structures contain pointers as members. For example, the following structure declaration has an int pointer member: struct GradeInfo { string name; // Student names int *testScores; // Dynamically allocated array float average; // Test average }; It is important to remember that the structure pointer operator ( -> ) is used to dereference a pointer to a structure, not a pointer that is a member of a structure. If a program derefer- ences the testScores pointer in this structure, the indirection operator must be used. For example, assume that the following variable has been defined: GradeInfo student1; The following statement will display the value pointed to by the testScores member: cout << *student1.testScores; It is still possible to define a pointer to a structure that contains a pointer member. For instance, the following statement defines stPtr as a pointer to a GradeInfo structur..."
11.11 Unions,659,"Unions CONCEPT: A union is like a structure, except all the members occupy the same memory area. A union, in almost all regards, is just like a structure. The difference is that all the members of a union use the same memory area, so only one member can be used at a time. A union might be used in an application where the program needs to work with two or more values (of different data types), but only needs to use one of the values at a time. Unions conserve memory by storing all their members in the same memory location. Unions are declared just like structures, except the key word union is used instead of struct . Here is an example: union PaySource { short hours; float sales; }; A union variable of the data type shown above can then be defined as PaySource employee1; The PaySource union variable defined here has two members: hours (a short ), and sales (a float ). The entire variable will only take up as much memory as the largest member (in this case, a float ). The way this var..."
11.12 Enumerated Data Types,663,"11.12 Enumerated Data Types CONCEPT: An enumerated data type is a programmer-defined data type. It consists of values known as enumerators, which represent integer constants. Using the enum key word you can create your own data type and specify the values that belong to that type. Such a type is known as an enumerated data type . Here is an example of an enumerated data type declaration: enum Day { MONDAY, TUESDAY, WEDNESDAY, THURSDAY, FRIDAY }; An enumerated type declaration begins with the key word enum , followed by the name of the type, followed by a list of identifiers inside braces, and is terminated with a semico- lon. The example declaration creates an enumerated data type named Day . The identifiers MONDAY , TUESDAY , WEDNESDAY , THURSDAY , and FRIDAY , which are listed inside the braces, Program 11-10 (continued) Program Output with Example Input Shown in Bold This program calculates either hourly wages or sales commission. Enter H for hourly wages or C for commission: C [..."
Review Questions and Exercises,675,"Review Questions and Exercises Short Answer 1. What is a primitive data type? 2. Does a structure declaration cause a structure variable to be created? 3. Both arrays and structures are capable of storing multiple values. What is the difference between an array and a structure? 4. Look at the following structure declaration. struct Point { int x; int y; }; Write statements that A) define a Point structure variable named center B) assign 12 to the x member of center C) assign 7 to the y member of center D) display the contents of the x and y members of center 5. Look at the following structure declaration. struct FullName { string lastName; string middleName; string firstName; }; Write statements that A) Define a FullName structure variable named info B) Assign your last, middle, and first name to the members of the info variable C) Display the contents of the members of the info variable 6. Look at the following code. struct PartData { string partName; int idNumber; }; PartData inve..."
CHAPTER 12 Advanced File Operations,688,"12.1 File Operations CONCEPT: A file is a collection of data that is usually stored on a computer’s disk. Data can be saved to files and then later reused. Almost all real-world programs use files to store and retrieve data. Here are a few examples of familiar software packages that use files extensively. • Word Processors: Word processing programs are used to write letters, memos, reports, and other documents. The documents are then saved in files so they can be edited and reprinted. • Database Management Systems: DBMSs are used to create and maintain databases. Databases are files that contain large collections of data, such as payroll records, inventories, sales statistics, and customer records. • Spreadsheets: Spreadsheet programs are used to work with numerical data. Numbers and mathematical formulas can be inserted into the rows and columns of the spread- sheet. The spreadsheet can then be saved to a file for use later. • Compilers: Compilers translate the source code of a pro..."
12.1 File Operations,688,"12.1 File Operations CONCEPT: A file is a collection of data that is usually stored on a computer’s disk. Data can be saved to files and then later reused. Almost all real-world programs use files to store and retrieve data. Here are a few examples of familiar software packages that use files extensively. • Word Processors: Word processing programs are used to write letters, memos, reports, and other documents. The documents are then saved in files so they can be edited and reprinted. • Database Management Systems: DBMSs are used to create and maintain databases. Databases are files that contain large collections of data, such as payroll records, inventories, sales statistics, and customer records. • Spreadsheets: Spreadsheet programs are used to work with numerical data. Numbers and mathematical formulas can be inserted into the rows and columns of the spread- sheet. The spreadsheet can then be saved to a file for use later. • Compilers: Compilers translate the source code of a pro..."
12.2 File Output Formatting,694,"12.2 File Output Formatting 663 You may also test for errors after you have opened a file with this technique. The following code shows an example. ifstream inputFile(""SalesData.txt""); if (!inputFile) cout << ""Error opening SalesData.txt.\n""; Checkpoint 12.1 Which file access flag would you use if you want all output to be written to the end of an existing file? 12.2 How do you use more than one file access flag? 12.3 Assuming that diskInfo is an fstream object, write a statement that opens the file names.dat for output. 12.4 Assuming that diskInfo is an fstream object, write a statement that opens the file customers.txt for output, where all output will be written to the end of the file. 12.5 Assuming that diskInfo is an fstream object, write a statement that opens the file payable.txt for both input and output. 12.6 Write a statement that defines an fstream object named dataFile and opens a file named salesfigures.txt for input. ( Note: The file should be opened with the definitio..."
12.3 Passing File Stream Objects to Functions,696,"12.3 Passing File Stream Objects to Functions 665 16 // Write the three rows of numbers with each 17 // number in a field of 8 character spaces. 18 for (int row = 0; row < ROWS; row++) 19 { 20 for (int col = 0; col < COLS; col++) 21 { 22 outFile << setw(8) << nums[row][col]; 23 } 24 outFile << endl; 25 } 26 outFile.close(); 27 cout << ""Done.\n""; 28 return 0; 29 } Contents of File table.txt 2897 5 837 34 7 1623 390 3456 12 Figure 12-4 shows the way the characters appear in the file. 2 8 9 7 5 8 3 7 \n 3 4 7 \n 1 6 2 3 3 9 0 1 2 \n 3 4 5 6 <EOF> Figure 12-4 12.3 Passing File Stream Objects to Functions CONCEPT: File stream objects may be passed by reference to functions. When writing actual programs, you’ll want to create modularized code for handling file operations. File stream objects may be passed to functions, but they should always be passed by reference. The openFile function shown below uses an fstream reference object parameter: bool openFileIn(fstream &file, string name) { b..."
12.4 More Detailed Error Testing,698,"12.4 More Detailed Error Testing 667 37 bool openFileIn(fstream &file, string name) 38 { 39 file.open(name, ios::in); 40 if (file.fail()) 41 return false; 42 else 43 return true; 44 } 45 46 //************************************************************ 47 // Definition of function showContents. Accepts an fstream * 48 // reference as its argument. Uses a loop to read each name * 49 // from the file and displays it on the screen. * 50 //************************************************************ 51 52 void showContents(fstream &file) 53 { 54 string line; 55 56 while (file >> line) 57 { 58 cout << line << endl; 59 } 60 } Program Output File opened successfully. Now reading data from the file. Jones Smith Willis Davis Done. 12.4 More Detailed Error Testing CONCEPT: All stream objects have error state bits that indicate the condition of the stream. All stream objects contain a set of bits that act as flags. These flags indicate the current state of the stream. Table 12-4 lists these bi..."
12.5 Member Functions for Reading and Writing Files,701,"12.5 Member Functions for Reading and Writing Files CONCEPT: File stream objects have member functions for more specialized file reading and writing. If whitespace characters are part of the data in a file, a problem arises when the file is read by the >> operator. Because the operator considers whitespace characters as delimiters, it Program 12-6 (continued) 12.5 Member Functions for Reading and Writing Files 671 does not read them. For example, consider the file murphy.txt , which contains the fol- lowing data: Jayne Murphy 47 Jones Circle Almond, NC 28702 Figure 12-5 shows the way the data is recorded in the file. J a y n e u r p h y \n 4 7 M J o n e s C i r c l e \n A l m o n d , N C 2 8 7 0 2 \n <EOF> Figure 12-5 The problem that arises from the use of the >> operator is evident in the output of Program 12-7 . Program 12-7 1 // This program demonstrates how the >> operator should not 2 // be used to read data that contain whitespace characters 3 // from a file. 4 #include <iost..."
12.6 Focus on Software Engineering: Working with Multiple Files,709,"12.6 Focus on Software Engineering: Working with Multiple Files CONCEPT: It’s possible to have more than one file open at once in a program. Quite often you will need to have multiple files open at once. In many real-world applications, data about a single item are categorized and written to several different files. For example, a payroll system might keep the following files: emp.dat A file that contains the following data about each employee: name, job title, address, telephone number, employee number, and the date hired. pay.dat A file that contains the following data about each employee: employee number, hourly pay rate, overtime rate, and number of hours worked in the current pay cycle. withhold.dat A file that contains the following data about each employee: employee number, dependents, and extra withholdings. When the system is writing paychecks, you can see that it will need to open each of the files listed above and read data from them. (Notice that each file contains the e..."
12.7 Binary Files,711,"12.7 Binary Files CONCEPT: Binary files contain data that is not necessarily stored as ASCII text. All the files you’ve been working with so far have been text files. That means the data stored in the files has been formatted as ASCII text. Even a number, when stored in a file with the << operator, is converted to text. For example, consider the following program segment: ofstream file(""num.dat""); short x = 1297; file << x; The last statement writes the contents of x to the file. When the number is written, however, it is stored as the characters '1' , '2' , '9' , and '7' . This is illustrated in Figure 12-6 . Program 12-12 (continued) '1' 1297 expressed in ASCII '2' '9' '7' <EOF> 49 50 57 55 <EOF> Figure 12-6 00000101 1297 as a short integer, in binary 1297 as a short integer, in hexadecimal 00010001 05 11 Figure 12-7 The number 1297 isn’t stored in memory (in the variable x ) in the fashion depicted in the fig- ure above, however. It is formatted as a binary number, occupying two ..."
12.8 Creating Records with Structures,716,"12.8 Creating Records with Structures 685 Program Output Writing the data to the file. Now reading the data back into memory. 1 2 3 4 5 6 7 8 9 10 12.8 Creating Records with Structures CONCEPT: Structures may be used to store fixed-length records to a file. Earlier in this chapter the concept of fields and records was introduced. A field is an indi- vidual piece of data pertaining to a single item. A record is made up of fields and is a complete set of data about a single item. For example, a set of fields might be a person’s name, age, address, and phone number. Together, all those fields that pertain to one person make up a record. In C++, structures provide a convenient way to organize data into fields and records. For example, the following code could be used to create a record containing data about a person. const int NAME_SIZE = 51, ADDR_SIZE = 51, PHONE_SIZE = 14; struct Info { char name[NAME_SIZE]; int age; char address1[ADDR_SIZE]; char address2[ADDR_SIZE]; char phone[PHONE..."
12.9 Random-Access Files,720,"12.9 Random-Access Files 689 Press the Enter key to see the next record. Name: Merideth Murney Age: 22 Address line 1: 487 Lindsay Lane Address line 2: Hazelwood, NC 28737 Phone: (828)555-9999 Press the Enter key to see the next record. That's all the data in the file! NOTE: Structures containing pointers cannot be correctly stored to disk using the techniques of this section. This is because if the structure is read into memory on a sub- sequent run of the program, it cannot be guaranteed that all program variables will be at the same memory locations. Because string class objects contain implicit pointers, they cannot be a part of a structure that has to be stored. 12.9 Random-Access Files CONCEPT: Random access means nonsequentially accessing data in a file. All of the programs created so far in this chapter have performed sequential file access . When a file is opened, the position where reading and/or writing will occur is at the file’s beginning (unless the ios::app mode is us..."
